,Date,CPI
2,2014Q1,236.293
5,2014Q2,238.343
8,2014Q3,238.031
11,2014Q4,234.812
14,2015Q1,236.119
17,2015Q2,238.638
20,2015Q3,237.945
23,2015Q4,236.525
26,2016Q1,238.132
29,2016Q2,241.018
32,2016Q3,241.428
35,2016Q4,241.432
38,2017Q1,243.801
41,2017Q2,244.955
44,2017Q3,246.819
47,2017Q4,246.524
50,2018Q1,249.554
53,2018Q2,251.989
56,2018Q3,252.439
59,2018Q4,251.233
62,2019Q1,254.202
65,2019Q2,256.143
68,2019Q3,256.759
71,2019Q4,256.974
74,2020Q1,258.115
77,2020Q2,257.797
80,2020Q3,260.28
83,2020Q4,260.474
86,2021Q1,264.877
89,2021Q2,271.696
92,2021Q3,274.31
95,2021Q4,278.802
98,2022Q1,287.504
101,2022Q2,296.311
104,2022Q3,296.808
107,2022Q4,296.797
110,2023Q1,301.836
113,2023Q2,305.109
